provincia,departamento,nombre,tematica_principal,tipo_de_gestion,mes_de_realizacion,duracion_dias,cantidad_aprox_de_asistentes,tipo_entrada,ultimo_ano_de_realizacion,mes_num
Chaco,Sargento Cabral,Carnavales Eliseños,Expresiones del carnaval,Público,Febrero,5,10000,Gratuita,2023,2.0
Chaco,Libertador General San Martin,Festival Navideño Familiar,Religiosa / de Culto,Público,Diciembre,1,7000,Gratuita,2022,12.0
Chaco,Libertador General San Martin,Festival de Arte Joven y de los Estudiantes ,Artística,Público,Septiembre,2,4000,Gratuita,2022,9.0
Chaco,Libertador General San Martin,"Homenaje a excombatientes, caídos y ex soldados de Malvinas ",Cívico / Histórica,Público,Abril,1,1,Mixta,2022,4.0
Chaco,Libertador General San Martin,Baila Roca,Artística,Público,Febrero,3,4500,Gratuita,2022,2.0
Chaco,Libertador General San Martin,Día de las Madres,Otra,Público,Octubre,1,4000,Gratuita,2022,10.0
Chaco,Libertador General San Martin,Festival del Productor,Gastronómica,Privado,Septiembre,1,4000,Paga,2022,9.0
Chaco,Libertador General San Martin,Día de la Mujer,Artística,Público,Marzo,1,6,Gratuita,2022,3.0
Chaco,Libertador General San Martin,Festival Paseo de los Artesanos:,Productiva,Público,Marzo,1,10,Gratuita,2022,3.0
Chaco,Libertador General San Martin,Cabalgata por María,Religiosa / de Culto,Público,Julio,2,10000,Gratuita,2022,7.0
Chaco,Libertador General San Martin,Festival 25 de Mayo,Cívico / Histórica,Privado,Mayo,1,6000,Paga,2022,5.0
Chaco,Libertador General San Martin,Festival día del niño,Tradicionales,Público,Agosto,1,4000,Gratuita,2022,8.0
Chaco,Libertador General San Martin,Fiesta del Inmigrante Paraguayo (Declaración de su Independencia),Cívico / Histórica,Público,Marzo,1,700,Gratuita,2022,3.0
Chaco,Libertador General San Martin,Fiesta de Reyes,Religiosa / de Culto,Público,Enero,1,5,Gratuita,2023,1.0
Chaco,Libertador General San Martin,Festival de cultura Gaucha,Tradicionales,Privado,Julio,1,6500,Paga,2022,7.0
Chaco,Libertador General San Martin,Día del Empleado Municipal,Otra,Público,Noviembre,1,300,Gratuita,2022,11.0
Chaco,Libertador General San Martin,Aniversario de Presidencia Roca,Cívico / Histórica,Público,Diciembre,1,8000,Gratuita,2022,12.0
Chaco,Comandante Fernández,Fiesta patronal,Religiosa / de Culto,Público,Julio,1,4000,Gratuita,2022,7.0
Chaco,Libertador General San Martin,Festival Provincial del Canotaje de travesía:  TRES RÍOS PARA UNA AVENTURA ,Otra,Público,Septiembre,3,13000,Gratuita,2022,9.0
Chaco,Libertador General San Martin,Fiesta de Carnaval,Expresiones del carnaval,Público,Febrero,1,3500,Gratuita,2023,2.0
Chaco,General Donovan,FESTIVAL DEL MATE,Tradicionales,Público,Octubre,2,3000,Gratuita,2022,10.0
Chaco,Libertador General San Martin,Cabalgata de la Fe,Religiosa / de Culto,Público,Julio,2,70000,Gratuita,2022,7.0
Chaco,General Guemes,Aniversario de El Sauzalito,Cívico / Histórica,Público,Octubre,6,4500,Gratuita,2022,10.0
Chaco,Maipu,Aniversario de Tres Isletas,Cívico / Histórica,Público,Agosto,30,11556,,,8.0
Chaco,General Donovan,Aniversario de La Verde,Cívico / Histórica,Público,Octubre,5,3000,Gratuita,2022,10.0
Chaco,Libertad,FIESTA DEL GAUCHO,Tradicionales,Mixto,Julio,1,8000,Gratuita,2022,7.0
Chaco,Libertad,Aniversario de Colonia Popular,Cívico / Histórica,Público,Noviembre,1,700,Gratuita,2022,11.0
Chaco,General Guemes,Aniversario de Castelli,Cívico / Histórica,Público,Octubre,2,15000,Gratuita,2022,10.0
Chaco,Sargento Cabral,Festival del Arraigo y la Ruralidad,Tradicionales,Público,Marzo,2,10000,Gratuita,2022,3.0
Chaco,Sargento Cabral,Aniversario de Colonia Unidas,Cívico / Histórica,Público,Marzo,1,3000,Gratuita,2022,3.0
Chaco,Presidencia de la Plaza,Festival del Chicharron,Gastronómica,Mixto,Febrero,1,3000,Paga,2023,2.0
Chaco,Presidencia de la Plaza,Aniversario de Presidencia de la Plaza,Cívico / Histórica,Público,Julio,1,11556,Gratuita,2022,7.0
Chaco,Presidencia de la Plaza,Carnavales placeños,Expresiones del carnaval,Público,Febrero,3,11556,Gratuita,2023,2.0
Chaco,Presidencia de la Plaza,Encuentro de escultores CENTENARIO,Artística,Público,Agosto,4,100,Gratuita,2022,8.0
Chaco,Almirante Brown,Bermejo es Tradición,Tradicionales,Público,Noviembre,1,3500,Gratuita,2022,11.0
Chaco,Almirante Brown,Día de las Infancias,Artística,Público,Agosto,1,3500,Gratuita,2022,8.0
Chaco,Almirante Brown,Aniversario de Concepción del Bermejo,Cívico / Histórica,Público,Diciembre,7,6000,Gratuita,2022,12.0
Chaco,General Belgrano,Festival Provincial de la Tradicion,Tradicionales,Mixto,Noviembre,2,2000,Gratuita,2022,11.0
Chaco,General Belgrano,Aniversario de Corzuela,Cívico / Histórica,Público,Julio,4,10000,Gratuita,2022,7.0
Chaco,Independencia,Aniversario de Avia Terai,Cívico / Histórica,Público,Julio,5,1250,Gratuita,2022,7.0
Chaco,San Fernando,Fiesta de la Primavera,Otra,Público,Octubre,1,5000,Gratuita,2022,10.0
Chaco,San Fernando,Carnavales de la costa,Expresiones del carnaval,Público,Febrero,2,5000,Gratuita,2023,2.0
Chaco,San Fernando,Aniversario de Barranqueras,Cívico / Histórica,Público,Abril,20,2000,Gratuita,2022,4.0
Chaco,San Fernando,Semana de la juventud,Otra,Público,Septiembre,7,1000,Gratuita,2022,9.0
Chaco,San Fernando,Aniversario de Basail,Cívico / Histórica,Público,Diciembre,7,1200,Gratuita,2022,12.0
Chaco,San Fernando,Carnaval,Expresiones del carnaval,Público,Febrero,1,1200,Gratuita,2022,2.0
Chaco,Sargento Cabral,Festival de la mujer,Otra,Público,Marzo,1,1800,Gratuita,2022,3.0
Chaco,Sargento Cabral,Festival del Mencho,Tradicionales,Público,Junio,1,3000,Gratuita,2022,6.0
Chaco,Sargento Cabral,Aniversario de Capital Solari,Cívico / Histórica,Público,Diciembre,1,5800,Gratuita,2022,12.0
Chaco,Sargento Cabral,Festival Cruz de los Milagros,Religiosa / de Culto,Público,Mayo,1,1000,Gratuita,2022,5.0
Chaco,Tapenaga,Aniversario de Charadai,Cívico / Histórica,Público,Septiembre,4,7000,Gratuita,2022,9.0
Chaco,Tapenaga,Fiesta Nacional de Santa Rosa de Lima,Religiosa / de Culto,Público,Agosto,3,500,Gratuita,2022,8.0
Chaco,Tapenaga,Fiesta patronal de la virgen de Lourdes,Religiosa / de Culto,Público,Octubre,2,800,Gratuita,2022,10.0
Chaco,Chacabuco,Aniversario de Charata,Cívico / Histórica,Público,Octubre,3,45000,Gratuita,2022,10.0
Chaco,Fray Justo Santa Maria de Oro,Dia de la  Primavera y el Estudiante,Otra,Público,Septiembre,10,1000,Gratuita,2022,9.0
Chaco,Fray Justo Santa Maria de Oro,Aniversario de Chototis,Cívico / Histórica,Público,Junio,1,2000,Gratuita,2022,6.0
Chaco,Libertador General San Martin,"Festival Artístico Cultural , Origen, Costumbres y Destrezas  Criollas",Tradicionales,Público,Septiembre,2,3000,Gratuita,2022,9.0
Chaco,Libertador General San Martin,Aniversario de Ciervo Petiso,Cívico / Histórica,Público,Septiembre,2,3911,Gratuita,2022,9.0
Chaco,Mayor Luis J. Fontana,Aniversario de Coronel Du Graty,Cívico / Histórica,Público,Enero,2,8000,Gratuita,2022,1.0
Chaco,General Guemes,Dia del Indio Americano- Cultura y Hermandad,Pueblos Indígenas/Originarios,Público,Abril,5,3500,Gratuita,2022,4.0
Chaco,General Guemes,Aniversario de El Espinillo,Cívico / Histórica,Público,Julio,1,4000,Gratuita,2022,7.0
Chaco,General Guemes,ENCUENTRO DE ARTESANOS EN EL CORAZON DEL IMPENETRABLE CHAQUEÑO,Artística,Público,Octubre,4,2000,Gratuita,2022,10.0
Chaco,San Fernando,"Encuentro Nacional de Batrerias, Batucadas y Pasistas ",Expresiones del carnaval,Público,Agosto,3,1500,Gratuita,2022,8.0
Chaco,San Fernando,Aniversario de Fontana,Cívico / Histórica,Público,Septiembre,2,10000,Gratuita,2022,9.0
Chaco,San Fernando,Estudiantina Fontana,Otra,Público,Septiembre,20,5000,Gratuita,2022,9.0
Chaco,General Guemes,Festival del Quebracho Colorado,Tradicionales,Público,Agosto,1,1500,Gratuita,2022,8.0
Chaco,General Guemes,Aniversario de Fuerte Esperanza,Cívico / Histórica,Público,Septiembre,2,6500,Gratuita,2022,9.0
Chaco,General Guemes,Aniversario de Comandancia Frias,Cívico / Histórica,Público,Noviembre,2,6500,Gratuita,2022,11.0
Chaco,Bermejo,Festival del Chupin y el pescado frito,Gastronómica,Público,Septiembre,1,1500,Gratuita,2022,9.0
Chaco,Bermejo,Aniversario de Isla del Cerrito,Cívico / Histórica,Público,Septiembre,1,1500,Gratuita,2022,9.0
Chaco,O' Higgins,Estudiantina,Otra,Público,Septiembre,1,1000,Gratuita,2022,9.0
Chaco,O' Higgins,Aniversario de La Clotilde,Cívico / Histórica,Público,Septiembre,5,11556,,,9.0
Chaco,Libertador General San Martin,Lanzamiento Temporada Parque Acuatico,Otra,Público,Noviembre,1,6000,Gratuita,2022,11.0
Chaco,Libertador General San Martin,Aniversario de La Eduvigis,Cívico / Histórica,Público,Octubre,1,500,Gratuita,2022,10.0
Chaco,Libertador General San Martin,Aniversario de Selva del Rio de Oro,Cívico / Histórica,Público,Septiembre,2,3911,Gratuita,2022,9.0
Chaco,Libertador General San Martin,Mes de la juventud- Estudiantina,,,Febrero,3,11556,,,
Chaco,General Donovan,Aniversario de La Escondida,Cívico / Histórica,Público,Septiembre,20,1500,Gratuita,2022,9.0
Chaco,Bermejo,Fiesta Internacional de la Pesca del Pacú Arrocero,Otra,Mixto,Julio,2,3000,Gratuita,2022,7.0
Chaco,Bermejo,Aniversario de La Leonesa,Cívico / Histórica,Público,Julio,1,3000,Gratuita,2022,7.0
Chaco,O' Higgins,Aniversario de La Tigra,Cívico / Histórica,Público,Septiembre,5,11556,Gratuita,2022,9.0
Chaco,Libertad,MES DE LAS JUVENTUDES,Otra,Público,Septiembre,1,1000,Gratuita,2022,9.0
Chaco,Libertador General San Martin,Aniversario de Laguna Limpia,Cívico / Histórica,Público,Septiembre,1,2000,Gratuita,2022,9.0
Chaco,General Donovan,DIA DE LA MADRE,Otra,Público,Octubre,3,2000,Gratuita,2022,10.0
Chaco,General Donovan,MES DE LA JUVENTUD,Otra,Público,Septiembre,3,2000,Gratuita,2022,9.0
Chaco,General Donovan,Aniversario de Lapachito,Cívico / Histórica,Público,Junio,12,2250,Gratuita,2022,6.0
Chaco,9 de Julio,Fiesta Provincial del Inmigrante,Tradicionales,Mixto,Noviembre,3,20000,Paga,2022,11.0
Chaco,9 de Julio,Festival Provincial del Desfile de Carrozas,Expresiones del carnaval,Público,Septiembre,1,15000,Gratuita,2022,9.0
Chaco,9 de Julio,Aniversario de Las Breñas,Cívico / Histórica,Público,Julio,30,12000,Gratuita,2022,7.0
Chaco,Sargento Cabral,Fiesta de la independencia,Cívico / Histórica,Público,Julio,2,3000,Gratuita,2022,7.0
Chaco,Sargento Cabral,Fiesta de la juventud,Otra,Público,Septiembre,1,2000,Gratuita,2022,9.0
Chaco,Sargento Cabral,Dia de la Madre,Otra,Público,Octubre,1,3000,Gratuita,2022,10.0
Chaco,Sargento Cabral,Aniversario de Las Garcitas,Cívico / Histórica,Público,Agosto,1,5000,Gratuita,2022,8.0
Chaco,25 de Mayo,Aniversario de Machagai,Cívico / Histórica,Público,Julio,3,11556,Gratuita,2022,7.0
Chaco,Primero de Mayo,Festival del Chipa Cuerito y  la Torta Parrilla,Gastronómica,Público,Julio,1,5000,Gratuita,2022,7.0
Chaco,General Guemes,Aniversario de Misión Pompeya,Cívico / Histórica,Público,Mayo,1,3000,Gratuita,2022,5.0
Chaco,Independencia,25 de Mayo en Napenay,Cívico / Histórica,Público,Mayo,1,1000,Gratuita,2022,5.0
Chaco,Independencia,Aniversario de Napenay,Cívico / Histórica,Público,Mayo,3,1500,Gratuita,2022,5.0
Chaco,Libertador General San Martin,Festival dia de la Tradicion,Cívico / Histórica,Público,Noviembre,3,1000,Gratuita,2022,11.0
Chaco,Libertador General San Martin,Aniversario de Pampa del Indio,Cívico / Histórica,Público,Agosto,3,10000,Gratuita,2022,8.0
Chaco,Almirante Brown,Aniversario de Pampa del Infierno,Cívico / Histórica,Público,Diciembre,3,10000,Gratuita,2022,12.0
Chaco,Bermejo,Torneo de Pesca Variada Embarcada,Otra,Mixto,Octubre,2,3500,Mixta,2022,10.0
Chaco,Bermejo,Festival del Chupin de pescado de Rio,Gastronómica,Público,Enero,1,1800,Gratuita,2023,1.0
Chaco,Bermejo,Aniversario de Puerto Eva Perón,Cívico / Histórica,Público,Octubre,1,1200,Gratuita,2022,10.0
Chaco,San Fernando,Cocinando con Tradicion ,Gastronómica,Público,Noviembre,1,3000,Gratuita,2022,11.0
Chaco,Quitilipi,Aniversario de Quitilipi,Otra,Mixto,Noviembre,27,40000,Gratuita,2022,11.0
Chaco,San Fernando,Aniversario de Puerto Vilelas,Cívico / Histórica,Público,Junio,3,3000,Gratuita,2022,6.0
Chaco,San Fernando,Estudiantina,Otra,Mixto,Septiembre,1,3000,Gratuita,2022,9.0
Chaco,San Lorenzo,Samuhu expone,Productiva,Mixto,Mayo,2,1000,Gratuita,2022,5.0
Chaco,Mayor Luis J. Fontana,Aniversario de Villa Angela,Cívico / Histórica,Público,Mayo,5,8000,Gratuita,2022,5.0
Chaco,San Lorenzo,FESTIVAL DEL CABRITO PARRILLERO,Productiva,Público,Julio,2,15000,Gratuita,2022,7.0
Chaco,San Lorenzo,Dia del niño,Otra,Público,Agosto,1,4500,Gratuita,2022,8.0
Chaco,San Lorenzo,Fiesta estudiantil -Edicion 30,Otra,Público,Septiembre,3,3000,Gratuita,2022,9.0
Chaco,General Guemes,Encuentro Nacional de Escultores Chaco Adentro,Artística,Público,Noviembre,6,5000,Gratuita,2022,11.0
Chaco,General Guemes,Tributo al Río,Religiosa / de Culto,Público,Diciembre,1,7000,Gratuita,2022,12.0
Chaco,General Guemes,Fiesta de la Chacarera del Monte Impenetrable,Tradicionales,Mixto,Septiembre,2,20000,Gratuita,2022,9.0
Chaco,Primero de Mayo,Festival de la Capital Botánica,Otra,Público,Septiembre,30,2000,Gratuita,2022,9.0
Chaco,Primero de Mayo,Aniversario de Colonia Benitez,Cívico / Histórica,Público,Marzo,2,2000,Gratuita,2022,3.0
Chaco,Sargento Cabral,Festival del Productor Rural,Productiva,Público,Septiembre,10,10000,Gratuita,2022,9.0
Chaco,Sargento Cabral,Aniversario de Colonia Elisa,Cívico / Histórica,Público,Mayo,30,10000,Gratuita,2022,5.0
Chaco,12 de Octubre,Soy Mujer,Otra,Mixto,Marzo,20,1500,Gratuita,2022,3.0
Chaco,12 de Octubre,Fiesta Nacional del Meteorito,Otra,Público,Septiembre,2,15000,Paga,2022,9.0
Chaco,12 de Octubre,Madres  de valores,Otra,Público,Octubre,1,500,Gratuita,2022,10.0
Chaco,12 de Octubre,Aniversario de General Pinedo y Festival del pueblo,Cívico / Histórica,Público,Mayo,3,10000,Gratuita,2022,5.0
Chaco,Libertador General San Martin,Aniversario de Gral.San Martin,Cívico / Histórica,Público,Abril,4,7000,Gratuita,2022,4.0
Chaco,2 de Abril,Fiesta Provincial del Sorgo y la Cosecha Gruesa,Tradicionales,Público,Junio,4,20000,Gratuita,2022,6.0
Chaco,Bermejo,Aniversario de Las Palmas,Cívico / Histórica,Público,Mayo,1,3000,Gratuita,2022,5.0
Chaco,Bermejo,Carnaval de la Dulzura,Expresiones del carnaval,Público,Febrero,6,11556,Paga,2023,2.0
Chaco,Almirante Brown,Aniversario de Los Frentones,Cívico / Histórica,Público,Octubre,30,5000,Gratuita,2022,10.0
Chaco,Libertador General San Martin,Carnavales Pampa del Indio,Expresiones del carnaval,Público,Febrero,5,3500,Paga,2023,2.0
Chaco,25 de Mayo,Encuentro Provincial de Comparsas,Expresiones del carnaval,Público,Febrero,1,8000,Gratuita,2023,2.0
Chaco,25 de Mayo,"Machagai, Corazón del Carnaval. ",Expresiones del carnaval,Mixto,Febrero,4,8000,Paga,2023,2.0
Chubut,Futaleufú,Festival Tropical,Artística,Público,Octubre,3,1000,Gratuita,2022,10.0
Chubut,Futaleufú,Festival de Primavera,Artística,Público,Septiembre,3,1000,Gratuita,2022,9.0
Chubut,Cushamen,Carnaval Comarcal,Expresiones del carnaval,Público,Febrero,3,500,Gratuita,2023,2.0
Chubut,Gaiman,"Fiesta del Chorizo ""Chorilavon""",Gastronómica,Público,Noviembre,3,15000,Gratuita,2022,11.0
Chubut,Rawson,Encuentro De Trovadores Patagónicos ,Artística,Público,febrero,3,11556,,2020,
Chubut,Escalante,Corso Malcriado ,Expresiones del carnaval,Privado,Febrero,3,11556,Gratuita,2023,2.0
Chubut,Río Senguer,Carnavales ,Expresiones del carnaval,Público,Febrero,3,3000,Gratuita,2023,2.0
Chubut,Futaleufú,Novena Fiesta Provincial del Rafting,Otra,Público,Diciembre,2,10000,Gratuita,2022,12.0
Chubut,Biedma,Festival de Teatro Infantil de Puerto Madryn,Artística,Privado,Septiembre,3,8000,Paga,2022,9.0
Chubut,Río Senguer,Festival Gato y Mancha,Productiva,,Enero,3,3500,Paga,2023,1.0
Chubut,Cushamen,Aniversario de Epuyen,Cívico / Histórica,Público,Septiembre,1,2000,Gratuita,2022,9.0
Chubut,Biedma,Carnaval de Puerto Madryn  ,Expresiones del carnaval,Privado,Febrero,3,11556,Gratuita,2023,2.0
Chubut,Futaleufú,Festival de Títeres,Artística,Público,Septiembre,3,1500,Gratuita,2022,9.0
Chubut,Tehuelches,Fiesta Provincial de la Cordillera,Tradicionales,Público,Enero,3,11556,Gratuita,2023,1.0
Chubut,Biedma,FESTIVAL MADRYN CANTO XXV EDICIÓN,Artística,Público,Septiembre,3,2500,Gratuita,2022,9.0
Chubut,Futaleufú,Encuentro provincial de Teatro,Artística,Público,Diciembre,3,1500,Paga,2022,12.0
Chubut,Cushamen,Fiesta Nacional de la Fruta Fina,Productiva,Público,Enero,3,11556,Gratuita,2023,1.0
Chubut,Futaleufú,Fiesta De La Producción De Semana Santa,Productiva,Público,Abril,3,12000,Gratuita,2023,4.0
Chubut,Río Senguer,Fiesta Nacional de la Esquila,Tradicionales,Público,Enero,3,11556,Gratuita,2023,1.0
Chubut,Río Senguer,Aniversario de Rio Mayo,Cívico / Histórica,Público,Agosto,1,3000,Gratuita,2022,8.0
Chubut,Escalante,Carnavales en Comodoro Rivadavia,Expresiones del carnaval,Privado,Febrero,3,11556,Gratuita,2023,2.0
Chubut,Cushamen,Aniversario de Lago Puelo,Cívico / Histórica,Público,Abril,1,2000,Gratuita,,4.0
Chubut,Gaiman,Aniversario de Dolavon,Cívico / Histórica,Público,Abril,1,11556,Gratuita,,4.0
Chubut,Río Senguer,Aniversario de Alto Río Senguer,Cívico / Histórica,Público,Abril,1,3000,Gratuita,,4.0
Chubut,Sarmiento,Aniversario de Buen Pasto,Cívico / Histórica,Público,Abril,1,11556,Gratuita,,4.0
Chubut,Gaiman,Aniversario de Gaiman,Cívico / Histórica,Público,Agosto,1,11556,Gratuita,,8.0
Chubut,Cushamen,Aniversario de Cholila,Cívico / Histórica,Público,Diciembre,1,2000,Gratuita,,12.0
Chubut,Cushamen,Aniversario de El Maiten,Cívico / Histórica,Público,Diciembre,1,2000,Gratuita,,12.0
Chubut,Cushamen,Festival Audiovisual Terrícola de la Patagonia,Artística,Privado,Diciembre,3,500,Gratuita,2022,12.0
Chubut,Paso De Indios,Aniversario de Paso de Indios,Cívico / Histórica,Público,Diciembre,1,11556,Gratuita,,12.0
Chubut,Río Senguer,Aniversario de Aldea Apeleg,Cívico / Histórica,Público,Diciembre,1,3000,Gratuita,,12.0
Chubut,Río Senguer,Aniversario de Facundo,Cívico / Histórica,Público,Diciembre,1,3000,Gratuita,,12.0
Chubut,Tehuelches,Fiesta del Bagual,Tradicionales,Público,Diciembre,3,11556,Gratuita,,12.0
Chubut,Telsen,Aniversario de Telsen,Cívico / Histórica,Público,Diciembre,1,11556,Gratuita,,12.0
Chubut,Cushamen,Fiesta Regional de la Señalada,Tradicionales,Público,Enero,2,11556,Gratuita,,1.0
Chubut,Cushamen,Encuentro Provincial de Artesanos y Artesanas,Artística,Público,Enero,3,500,Gratuita,2023,1.0
Chubut,Cushamen,Semana del Pueblo de Gualjaina,Cívico / Histórica,Público,Enero,1,2000,Gratuita,,1.0
Chubut,Languiñeo,Fiesta Nacional del Salmón del Pacífico,Productiva,Público,Enero,3,11556,Gratuita,,1.0
Chubut,Futaleufú,Fiesta Provincial del Carrero,Tradicionales,Público,enero,2,11556,Gratuita,,1.0
Chubut,Futaleufú,Fiesta Provincial del Ternero Cordillerano,Tradicionales,Público,enero,3,11556,Gratuita,,1.0
Chubut,Gastre,Aniversario de Gastre,Cívico / Histórica,Público,Enero,1,11556,Gratuita,,1.0
Chubut,Gastre,Fiesta del Borrego,Gastronómica,Público,enero,2,11556,Gratuita,,1.0
Chubut,Gastre,Fiesta Provincial del Acordeón y La Guitarra,Tradicionales,Público,Enero,2,11556,Gratuita,,1.0
Chubut,Languiñeo,Aniversario de Carrenleufu,Cívico / Histórica,Público,Enero,1,11556,Gratuita,,1.0
Chubut,Languiñeo,Aniversario de Colan Conhue,Cívico / Histórica,Público,Enero,1,11556,Gratuita,,1.0
Chubut,Paso De Indios,Fiesta Zonal del Fósil,Otra,Público,enero,3,11556,Gratuita,,1.0
Chubut,Rawson,Fiesta de los Pescadores del Sur,Productiva,Público,enero,3,11556,Gratuita,,1.0
Chubut,Rawson,Fiesta del Río,Otra,Público,Enero,2,11556,Gratuita,2022,1.0
Chubut,Rawson,Fiesta Regional de la Bahía,Otra,Público,Enero,2,11556,Gratuita,,1.0
Chubut,Tehuelches,Fiesta Regional de la Naturaleza y el Aire Puro,Otra,Público,Enero,3,11556,Gratuita,,1.0
Chubut,Telsen,Fiesta Regional del Chacay y sus Destrezas,Tradicionales,Público,Enero,2,11556,Gratuita,,1.0
Chubut,Cushamen,Fiesta Nacional del Asado,Gastronómica,Público,Febrero,3,11556,Gratuita,,2.0
Chubut,Cushamen,Fiesta Nacional del Tren a Vapor,Otra,Público,febrero,3,11556,Gratuita,,2.0
Chubut,Cushamen,Fiesta Regional del Bosque,Otra,Público,febrero,3,11556,Gratuita,2023,2.0
Chubut,Escalante,Aniversario de Comodoro Rivadavia,Cívico / Histórica,Público,Febrero,1,11556,Gratuita,2023,2.0
Chubut,Escalante,Fiesta Regional del Pescador,Gastronómica,Público,febrero,3,11556,Gratuita,,2.0
Chubut,Florentino Ameghino,Fiesta Nacional del Salmón,Otra,Público,febrero,4,11556,Gratuita,,2.0
Chubut,Gaiman,Fiesta de la Energía,Otra,Público,febrero,2,11556,Gratuita,,2.0
Chubut,Futaleufú,Aniversario de Esquel,Cívico / Histórica,Público,Febrero,1,11556,Gratuita,,2.0
Chubut,Futaleufú,Fiesta de la Semana de Esquel,Cívico / Histórica,Público,febrero,4,11556,Gratuita,,2.0
Chubut,Futaleufú,Fiesta del Jinete y el Reservado,Tradicionales,Público,febrero,1,11556,Gratuita,,2.0
Chubut,Futaleufú,Fiesta del Ciprés Cordillerano,Otra,Público,febrero,2,10000,Gratuita,,2.0
Chubut,Futaleufú,Fiesta Regional de la Tortilla al Rescoldo,Gastronómica,Público,febrero,2,11556,Gratuita,,2.0
Chubut,Gaiman,Aniversario de 28 de Julio,Cívico / Histórica,Público,Febrero,1,11556,Gratuita,,2.0
Chubut,Gaiman,Carnavales de Dolavon,Expresiones del carnaval,Público,febrero,4,11556,Gratuita,,2.0
Chubut,Gastre,Fiesta de Las Aldeas,Tradicionales,Público,Febrero,2,11556,Gratuita,,2.0
Chubut,Gastre,Fiesta Provincial del Chivito,Gastronómica,Público,febrero,2,11556,Gratuita,,2.0
Chubut,Languiñeo,Aniversario de Aldea Epulef,Cívico / Histórica,Público,Febrero,1,11556,Gratuita,,2.0
Chubut,Languiñeo,Fiesta Provincial del Calafate,Otra,Público,febrero,3,11556,Gratuita,,2.0
Chubut,Paso De Indios,Aniversario de Los Altares,Cívico / Histórica,Público,Febrero,1,11556,Gratuita,,2.0
Chubut,Paso De Indios,Fiesta Regional de la Flecha,Tradicionales,Público,febrero,2,11556,Gratuita,,2.0
Chubut,Rawson,Fiesta Provincial del Pulpo,Artística,Público,febrero,3,11556,Gratuita,,2.0
Chubut,Rawson,Fiesta del Langostino,Gastronómica,Público,febrero,2,11556,Gratuita,,2.0
Chubut,Rawson,Fiesta Nacional del Atlántico Sur,Otra,Público,febrero,2,11556,Gratuita,,2.0
Chubut,Rawson,Carnavales de Trelew,Expresiones del carnaval,Público,Febrero,3,11556,Gratuita,,2.0
Chubut,Sarmiento,Festival de Doma y Folklore,Tradicionales,Público,febrero,2,11556,Gratuita,,2.0
Chubut,Tehuelches,Aniversario de Gobernador Costa,Cívico / Histórica,Público,Febrero,1,11556,Gratuita,,2.0
Chubut,Tehuelches,Fiesta Provincial del Caballo,Tradicionales,Público,febrero,3,11556,Gratuita,,2.0
Chubut,Telsen,Fiesta Regional del Gaucho y La Taba,Tradicionales,Público,febrero,2,11556,Gratuita,,2.0
Chubut,Telsen,Fiesta Provincial del Perro del Trabajador Rural,Tradicionales,Público,febrero,2,11556,Gratuita,,2.0
Chubut,Biedma,Aniversario de Puerto Madryn,Cívico / Histórica,Público,Julio,1,11556,Gratuita,,7.0
Chubut,Biedma,Aniversario de Puerto Pirámide,Cívico / Histórica,Público,Julio,1,11556,Gratuita,,7.0
Chubut,Escalante,Aniversario de Rada Tilly,Cívico / Histórica,Público,Julio,1,11556,Gratuita,,7.0
Chubut,Gaiman,Aniversario de Florentino Ameghino,Cívico / Histórica,Público,Julio,1,11556,Gratuita,,7.0
Chubut,Languiñeo,Aniversario de Tecka,Cívico / Histórica,Público,Julio,1,11556,Gratuita,,7.0
Chubut,Martires,Aniversario de Las Plumas,Cívico / Histórica,Público,Julio,1,11556,Gratuita,,7.0
Chubut,Sarmiento,Aniversario de Sarmiento,Cívico / Histórica,Público,Junio,1,11556,Gratuita,,6.0
Chubut,Biedma,Fiesta Provincial de los Pescadores Artesanales,Productiva,Público,marzo,3,11556,Gratuita,,3.0
Chubut,Cushamen,Fiesta Provincial de las Bellezas de Puerto Patriada,Otra,Público,marzo,3,11556,Gratuita,,3.0
Chubut,Cushamen,Fiesta Mestiza,Artística,Privado,Marzo,3,500,Gratuita,2022,3.0
Chubut,Futaleufú,Fiesta Regional del Leñatero,Tradicionales,Público,marzo,2,11556,Gratuita,,3.0
Chubut,Futaleufú,Fiesta de la Comunidad Mapuche,Pueblos Indígenas/Originarios,Público,Marzo,2,11556,Gratuita,,3.0
Chubut,Futaleufú,Fiesta del Poblador Rural,Tradicionales,Público,marzo,2,11556,Gratuita,,3.0
Chubut,Languiñeo,Fiesta Regional de la Marcación,Tradicionales,Público,marzo,2,11556,Gratuita,,3.0
Chubut,Languiñeo,Fiesta Regional de las Destrezas Criollas,Tradicionales,Público,marzo,3,11556,Gratuita,,3.0
Chubut,Martires,Fiesta del Maestro Rural,Otra,Público,Marzo,2,11556,Gratuita,,3.0
Chubut,Paso De Indios,Fiesta Nacional del Peón Rural,Tradicionales,Público,marzo,2,11556,Gratuita,,3.0
Chubut,Río Senguer,Fiesta Regional del Puestero,Tradicionales,Público,marzo,2,11556,Gratuita,,3.0
Chubut,Río Senguer,Fiesta Regional del Caballo Cuadrero,Tradicionales,Público,marzo,2,11556,Gratuita,,3.0
Chubut,Sarmiento,Fiesta del Pialador,Tradicionales,Público,marzo,2,11556,Gratuita,,3.0
