provincia,departamento,nombre,tematica_principal,tipo_de_gestion,mes_de_realizacion,duracion_dias,cantidad_aprox_de_asistentes,tipo_entrada,ultimo_ano_de_realizacion,mes_num
Buenos Aires,Tapalque,Aniversario de Crotto,Otra,Público,Octubre,3,800,Gratuita,2022,10.0
Buenos Aires,Balcarce,Fiesta Nacional del Postre Balcarce,Gastronómica,,Noviembre,3,11556,,2022,
Buenos Aires,Bragado,Fiesta del Concurso del Chorizo Seco,Gastronómica,,Noviembre,3,11556,,2022,
Buenos Aires,Leandro N. Alem,Fiesta de la Identidad y la Integración,Otra,,Noviembre,3,11556,,2022,
Buenos Aires,Monte,Fiesta Nacional de la Federación,Artística,,Noviembre,3,11556,,2022,
Buenos Aires,Ensenada,Carnaval de Encenada,Expresiones del carnaval,Privado,Febrero,3,11556,Gratuita,2023,2.0
Buenos Aires,Villarino,CARNAVALES VILLA OBRERA,Expresiones del carnaval,Privado,Febrero,3,2500,Gratuita,2023,2.0
Buenos Aires,Lincoln,21º ALMUERZO PATRIO- LOCRO,Tradicionales,,Noviembre,3,11556,,2022,
Buenos Aires,Saavedra,23º Edición de la Omelette Gigante,Gastronómica,,Noviembre,3,11556,,,
Buenos Aires,Puan,Fiesta de la Primavera,Artística,Público,Septiembre,3,8000,Gratuita,2022,9.0
Buenos Aires,Navarro,XXVIII Dia Nacional Del Gaucho,,Privado,Noviembre,3,11556,,2021,
Buenos Aires,Lujan,Música en la Plaza,Artística,,Enero,3,35000,Gratuita,2023,1.0
Buenos Aires,Benito Juarez,FORTINES Y TOLDERIAS,Tradicionales,Privado,Diciembre,3,11556,Gratuita,2023,12.0
Buenos Aires,General Belgrano,Encuentro de Gaucho a las Costas del Salado,Tradicionales,,Noviembre,3,11556,,2022,
Buenos Aires,Tandil,FESTIVAL DE LA SIERRA,Tradicionales,Privado,Febrero,3,11556,Gratuita,2023,2.0
Buenos Aires,Carmen de Areco,210º Aniversario de Carmen de Areco,Cívico / Histórica,Público,Septiembre,3,20000,Gratuita,2022,9.0
Buenos Aires,Chascomus,Carnaval Infantil,Expresiones del carnaval,,Febrero,3,50000,Gratuita,2023,2.0
Buenos Aires,Berisso,Fiesta Provincial del Inmigrante,Cívico / Histórica,,Noviembre,3,11556,,2022,
Buenos Aires,Ayacucho,Fiesta Nacional del Ternero y Día de la Yerra,Productiva,,Noviembre,3,11556,,2022,
Buenos Aires,Villarino,Fiesta Nacional del Ajo,Otra,Público,Noviembre,3,60000,Gratuita,2022,11.0
